feature,mean_abs_shap
cat__ETHNICITY_4,0.0
cat__CONTRACEPTIVE_METHOD_3,0.0
cat__CONTRACEPTIVE_METHOD_1,0.0
cat__CONTRACEPTIVE_METHOD_11,0.0
cat__WANT_LAST_PREGNANCY_3,0.0
cat__MONTH_USE_CURRENT_METHOD_0,0.0
cat__CONTRACEPTIVE_METHOD_7,0.0
cat__CONTRACEPTIVE_METHOD_13,0.0
cat__CONTRACEPTIVE_METHOD_2,0.0
cat__CONTRACEPTIVE_METHOD_18,0.0
cat__ETHNICITY_68,0.0
cat__CONTRACEPTIVE_METHOD_5,0.0
cat__CONTRACEPTIVE_METHOD_6,0.0
cat__WANT_LAST_CHILD_ ,0.0
cat__DESIRE_FOR_MORE_CHILDREN_7,0.0
cat__DESIRE_FOR_MORE_CHILDREN_6,0.0
cat__DESIRE_FOR_MORE_CHILDREN_5,0.0
cat__DESIRE_FOR_MORE_CHILDREN_4,0.0
cat__DESIRE_FOR_MORE_CHILDREN_3,0.0
cat__DESIRE_FOR_MORE_CHILDREN_2,0.0
cat__ETHNICITY_52,0.0
cat__PARTNER_EDUC_1,0.0
cat__PARTNER_EDUC_ ,0.0
cat__WANT_LAST_PREGNANCY_2,0.0
cat__WANT_LAST_PREGNANCY_1,0.0
cat__OCCUPATION_61,0.0
cat__RELIGION_96,0.0
cat__ETHNICITY_11,0.0
cat__ETHNICITY_10,0.0
cat__ETHNICITY_1,0.0
cat__ETHNICITY_2,0.0
cat__ETHNICITY_58,0.0
cat__ETHNICITY_55,0.0
cat__ETHNICITY_53,0.0
cat__ETHNICITY_62,0.0
cat__ETHNICITY_63,0.0
cat__ETHNICITY_64,0.0
cat__ETHNICITY_6,0.0
cat__ETHNICITY_67,0.0
cat__LAST_METHOD_DISCONTINUED_3,0.0
cat__LAST_METHOD_DISCONTINUED_11,0.0
cat__TOLD_ABT_SIDE_EFFECTS_ ,0.0
cat__RELIGION_2,0.0
cat__RELIGION_3,0.0
cat__RELIGION_4,0.0
cat__RELIGION_5,0.0
cat__RELIGION_6,0.0
cat__RELIGION_95,0.0
cat__LAST_METHOD_DISCONTINUED_10,0.0
cat__OCCUPATION_24,0.0
cat__RELIGION_1,0.0
cat__MONTH_USE_CURRENT_METHOD_32,0.0
cat__ETHNICITY_35,0.0
cat__ETHNICITY_33,0.0
cat__ETHNICITY_3,0.0
cat__LAST_METHOD_DISCONTINUED_2,0.0
cat__LAST_METHOD_DISCONTINUED_16,0.0
cat__LAST_METHOD_DISCONTINUED_13,0.0
cat__ETHNICITY_23,0.0
cat__ETHNICITY_26,0.0
cat__ETHNICITY_27,0.0
cat__EDUC_LEVEL_3,0.0
cat__EDUC_LEVEL_0,0.0
cat__LAST_METHOD_DISCONTINUED_1,0.0
cat__EDUC_LEVEL_2,0.0
cat__EDUC_LEVEL_1,0.0
cat__LAST_SOURCE_TYPE_6,0.0
cat__LAST_SOURCE_TYPE_5,0.0
cat__LAST_SOURCE_TYPE_4,0.0
cat__LAST_SOURCE_TYPE_2,0.0
cat__LAST_SOURCE_TYPE_1,0.0
cat__LAST_SOURCE_TYPE_ ,0.0
cat__LAST_SOURCE_TYPE_9,0.0
cat__LAST_SOURCE_TYPE_7,0.0
cat__TOLD_ABT_SIDE_EFFECTS_0,0.0
cat__TOLD_ABT_SIDE_EFFECTS_1,0.0
cat__REGION_9,0.0
cat__REASON_DISCONTINUED_98,0.0
cat__REASON_DISCONTINUED_9,0.0
cat__REASON_DISCONTINUED_8,0.0
cat__REASON_DISCONTINUED_7,0.0
cat__REASON_DISCONTINUED_6,0.0
cat__REASON_DISCONTINUED_4,0.0
cat__REASON_DISCONTINUED_3,0.0
cat__REASON_DISCONTINUED_2,0.0
cat__REASON_DISCONTINUED_15,0.0
cat__REASON_DISCONTINUED_14,0.0
cat__REASON_DISCONTINUED_13,0.0
cat__REASON_DISCONTINUED_11,0.0
cat__REASON_DISCONTINUED_10,0.0
